Time,PV,MV
0,25,100
0.49,25.6557377,100
1,26.73931739,100
1.41,28.09989647,100
1.87,29.63765358,100
2.36,31.28655118,100
2.8,33.00292157,100
3.28,34.75790897,100
3.75,36.53246494,100
4.23,38.31403455,100
4.69,40.09436204,100
5.17,41.8680379,100
5.61,43.6315367,100
6.09,45.38258006,100
6.56,47.11971478,100
7.05,48.84203357,100
7.48,50.54899004,100
7.97,52.24027628,100
8.44,53.91574177,100
8.92,55.57533965,100
9.36,57.21909125,100
9.84,58.84706249,100
10.31,60.45934834,100
10.79,62.05606252,100
11.23,63.63733062,100
11.72,65.20328567,100
12.18,66.7540651,100
12.67,68.28980877,100
13.11,69.8106577,100
13.59,71.31675321,100
14.06,72.80823632,100
14.54,74.28524742,100
14.98,75.74792602,100
15.47,77.19641059,100
15.93,78.63083847,100
16.42,80.0513458,100
16.86,81.45806751,100
17.34,82.85113726,100
17.81,84.23068747,100
18.29,85.59684929,100
18.73,86.94975261,100
19.21,88.28952609,100
19.68,89.61629714,100
20.15,90.93019194,100
20.62,92.23133544,100
21.1,93.51985139,100
21.54,94.79586234,96.46069109
22.03,96.03628105,91.24555498
22.5,97.21509605,86.29140345
22.98,98.31716394,81.66105175
23.42,99.33492958,77.38567225
23.91,100.2660428,73.4747424
24.38,101.1116366,69.92323199
24.85,101.8750909,66.71675999
25.31,102.5611542,63.83526184
25.8,103.1753248,61.2555677
26.24,103.7234229,58.95318759
26.72,104.2113002,56.90352178
27.19,104.6446484,55.08265731
27.67,105.0288789,53.46786871
28.11,105.3690526,52.03790945
28.59,105.6698443,50.77315736
29.06,105.9355323,49.65565976
29.55,106.1700024,48.66911161
29.98,106.3767638,47.79879032
30.49,106.5589707,47.03146427
30.92,106.7194473,46.3552869
31.41,106.8607143,45.75968453
31.88,106.9850161,45.23524369
32.36,107.0943467,44.77360144
32.8,107.1904745,44.36734113
33.28,107.2749655,44.00989491
33.75,107.3492049,43.69545369
34.23,107.4144167,43.41888471
34.67,107.4716813,43.17565666
35.16,107.521952,42.96177213
35.62,107.5660691,42.77370681
36.11,107.6047733,42.60835507
36.55,107.6387168,42.46298146
37.03,107.668474,42.33517741
37.5,107.6945505,42.22282283
37.98,107.7173911,42.12405209
38.42,107.7373873,42.03722377
38.9,107.7548834,41.96089403
39.39,107.7701821,41.89379303
39.83,107.7835498,41.83480409
40.31,107.7952206,41.78294534
40.78,107.8054004,41.73735352
41.26,107.8142701,41.69726971
41.73,107.8219889,41.66202681
42.17,107.8286964,41.63103838
42.65,107.8345158,41.603789
43.12,107.8395549,41.57982563
43.61,107.8439087,41.5587501
44.04,107.8476607,41.54021248
44.54,107.8508842,41.52390521
44.98,107.8536436,41.50955803
45.47,107.8559956,41.4969334
45.93,107.8579899,41.48582258
46.39,107.8596703,41.47604215
46.86,107.8610752,41.4674309
47.36,107.8622384,41.45984718
47.79,107.8631895,41.45316649
48.28,107.8639546,41.44727946
48.75,107.8645567,41.44208995
49.23,107.8650158,41.43751349
49.67,107.8653497,41.43347585
50.15,107.8655739,41.4299118
50.62,107.8657021,41.42676403
51.1,107.8657462,41.42398216
51.54,107.8657168,41.42152194
52.03,107.8656233,41.41934447
52.49,107.8654736,41.41741557
52.98,107.865275,41.41570521
53.42,107.8650337,41.414187
53.9,107.8647553,41.41283774
54.37,107.8644446,41.41163707
54.84,107.8641059,41.41056707
55.31,107.8637429,41.409612
55.79,107.8633589,41.40875803
56.23,107.8629568,41.40799303
56.71,107.8625391,41.40730629
57.18,107.8621081,41.40668846
57.67,107.8616656,41.40613126
58.1,107.8612136,41.40562747
58.59,107.8607533,41.40517072
59.06,107.8602862,41.4047554
59.54,107.8598135,41.40437659
59.98,107.859336,41.40402999
60.46,107.8588549,41.40371179
60.93,107.8583707,41.40341865
61.41,107.8578843,41.40314763
61.85,107.8573961,41.40289617
62.34,107.8569069,41.402662
62.8,107.8564169,41.40244312
63.29,107.8559267,41.40223779
63.73,107.8554365,41.40204446
64.21,107.8549467,41.40186179
64.68,107.8544576,41.40168858
65.16,107.8539694,41.40152379
65.6,107.8534824,41.40136651
66.09,107.8529966,41.40121593
66.55,107.8525122,41.40107133
67.04,107.8520295,41.4009321
67.48,107.8515484,41.40079768
67.96,107.8510692,41.40066759
68.43,107.8505919,41.40054141
68.91,107.8501166,41.40041877
69.35,107.8496434,41.40029933
69.83,107.8491722,41.40018281
70.3,107.8487033,41.40006895
70.77,107.8482365,41.39995754
71.24,107.8477721,41.39984836
71.72,107.8473098,41.39974126
72.16,107.8468499,41.39963607
72.65,107.8463924,41.39953267
73.11,107.8459372,41.39943093
73.6,107.8454843,41.39933075
74.04,107.8450339,41.39923204
74.52,107.8445858,41.39913472
74.99,107.8441401,41.39903871
75.47,107.8436968,41.39894395
75.91,107.843256,41.39885039
76.4,107.8428175,41.39875797
76.86,107.8423815,41.39866666
77.35,107.8419478,41.39857641
77.79,107.8415166,41.39848719
78.27,107.8410878,41.39839896
78.74,107.8406614,41.39831171
79.22,107.8402374,41.39822541
79.66,107.8398159,41.39814003
80.15,107.8393967,41.39805556
80.63,107.8389799,41.39797197
81.1,107.8385654,41.39788926
81.54,107.8381534,41.39780741
82.02,107.8377438,41.39772641
82.49,107.8373365,41.39764624
82.98,107.8369316,41.3975669
83.41,107.836529,41.39748837
83.9,107.8361288,41.39741065
84.37,107.8357309,41.39733373
84.85,107.8353354,41.3972576
