Time,PV,0
0,0,0
10,0,1
20,0.149254,1
30,0.309646,1
40,0.459731,1
50,0.597077,1
60,0.722272,1
70,0.836311,1
80,0.940174,1
90,1.034767,1
100,1.120918,1
110,1.19938,1
120,1.270838,1
130,1.335919,1
140,1.39519,1
150,1.449172,1
160,1.498335,1
170,1.543111,1
180,1.58389,1
190,1.621029,1
200,1.654854,1
210,1.68566,1
220,1.713716,1
230,1.739268,1
240,1.762539,1
250,1.783733,1
260,1.803036,1
270,1.820616,1
280,1.836627,1
290,1.851208,1
300,1.864488,1
310,1.876583,1
320,1.887599,1
330,1.897631,1
340,1.906768,1
350,1.915089,1
360,1.922668,1
370,1.92957,1
380,1.935856,1
390,1.941581,1
400,1.946795,1
410,1.951544,1
420,1.955869,1
430,1.959808,1
440,1.963395,1
450,1.966662,1
460,1.969638,1
470,1.972348,1
480,1.974816,1
490,1.977064,1
500,1.979111,1
510,1.980975,1
520,1.982673,1
530,1.98422,1
540,1.985628,1
550,1.986911,1
560,1.988079,1
570,1.989143,1
580,1.990112,1
590,1.990995,1
600,1.991798,1
610,1.99253,1
620,1.993197,1
630,1.993804,1
640,1.994357,1
650,1.994861,1
660,1.99532,1
670,1.995737,1
680,1.996118,1
690,1.996464,1
700,1.99678,1
710,1.997067,1
720,1.997329,1
730,1.997567,1
740,1.997785,1
750,1.997982,1
760,1.998162,1
770,1.998326,1
780,1.998476,1
790,1.998612,1
800,1.998736,1
810,1.998849,1
820,1.998951,1
830,1.999045,1
840,1.99913,1
850,1.999208,1
860,1.999279,1
870,1.999343,1
