Time,PV,MV
0,0,0
10,0,1
20,0.121951,1
30,0.22903,1
40,0.308179,1
50,0.364617,1
60,0.40452,1
70,0.432674,1
80,0.452528,1
90,0.466528,1
100,0.476399,1
110,0.483359,1
120,0.488267,1
130,0.491727,1
140,0.494167,1
150,0.495887,1
160,0.4971,1
170,0.497955,1
180,0.498558,1
190,0.498983,1
200,0.499283,1
210,0.499495,1
220,0.499644,1
230,0.499749,1
240,0.499823,1
250,0.499875,1
260,0.499912,1
270,0.499938,1
280,0.499956,1
290,0.499969,1
300,0.499978,1
310,0.499985,1
320,0.499989,1
330,0.499992,1
340,0.499995,1
350,0.499996,1
360,0.499997,1
370,0.499998,1
380,0.499999,1
390,0.499999,1
400,0.499999,1
410,0.5,1
420,0.5,1
430,0.5,1
440,0.5,1
450,0.5,1
460,0.5,1
470,0.5,1
480,0.5,1
490,0.5,1
500,0.5,1
510,0.5,1
520,0.5,1
530,0.5,1
540,0.5,1
550,0.5,1
560,0.5,1
570,0.5,1
580,0.5,1
590,0.5,1
600,0.5,1
610,0.5,1
620,0.5,1
630,0.5,1
640,0.5,1
650,0.5,1
660,0.5,1
670,0.5,1
680,0.5,1
690,0.5,1
700,0.5,1
710,0.5,1
720,0.5,1
730,0.5,1
740,0.5,1
750,0.5,1
760,0.5,1
770,0.5,1
780,0.5,1
790,0.5,1
800,0.5,1
810,0.5,1
820,0.5,1
830,0.5,1
840,0.5,1
850,0.5,1
860,0.5,1
870,0.5,1
