Time,PV,MV
0,23.7,0
0.49,23.7,0
1,23.7,2.7
1.41,23.7,2.7
1.87,23.7,30
2.36,23.7,30
2.8,23.7,30
3.28,23.7,30
3.75,23.7,30
4.23,23.8,30
4.69,23.9,30
5.17,24,29.4
5.61,24.2,29.4
6.09,24.4,30
6.56,24.6,30
7.05,24.9,29.2
7.48,25.2,29.2
7.97,25.5,30
8.44,25.9,29.9
8.92,26.2,29.9
9.36,26.6,29.9
9.84,27.1,30
10.31,27.5,30
10.79,27.8,29.7
11.23,28.3,29.7
11.72,28.8,30
12.18,29.3,29.2
12.67,29.8,30
13.11,30.3,30
13.59,30.7,30
14.06,31.2,30
14.54,31.7,30
14.98,32.3,30
15.47,32.8,30
15.93,33.3,29.6
16.42,33.8,30
16.86,34.3,30
17.34,34.8,30
17.81,35.3,30
18.29,35.9,30
18.73,36.4,30
19.21,36.9,30
19.68,37.4,30
20.15,37.9,30
20.62,38.4,30
21.1,38.9,30
21.54,39.4,30
22.03,40,30
22.5,40.5,30
22.98,41,30
23.42,41.5,30
23.91,42,29.9
24.38,42.5,30
24.85,43,30
25.31,43.5,30
25.8,44,30
26.24,44.5,30
26.72,45,30
27.19,45.5,29.5
27.67,46,29.7
28.11,46.5,29.7
28.59,47,29.3
29.06,47.4,29.8
29.55,47.9,30
29.98,48.4,30
30.49,48.9,30
30.92,49.3,30
31.41,49.8,30
31.88,50.3,30
32.36,50.8,30
32.8,51.3,30
33.28,51.7,29.8
33.75,52.2,30
34.23,52.7,30
34.67,53.1,30
35.16,53.6,30
35.62,54.1,30
36.11,54.5,30
36.55,55,30
37.03,55.4,30
37.5,55.9,30
37.98,56.3,30
38.42,56.8,30
38.9,57.2,30
39.39,57.7,29.9
39.83,58.1,29.9
40.31,58.6,30
40.78,59.1,30
41.26,59.5,30
41.73,59.9,29.6
42.17,60.4,29.6
42.65,60.8,30
43.12,61.3,30
43.61,61.7,30
44.04,62.1,30
44.54,62.5,30
44.98,63,30
45.47,63.4,30
45.93,63.8,30
46.39,64.2,30
46.86,64.7,30
47.36,65.1,30
47.79,65.5,30
48.28,66,29.8
48.75,66.4,29.9
49.23,66.8,30
49.67,67.2,30
50.15,67.6,29.5
50.62,68,30
51.1,68.4,30
51.54,68.8,30
52.03,69.3,30
52.49,69.7,30
52.98,70,29.4
53.42,70.4,29.4
53.9,70.8,30
54.37,71.2,30
54.84,71.7,30
55.31,72,30
55.79,72.5,29.2
56.23,72.9,29.2
56.71,73.2,30
57.18,73.7,30
57.67,74,30
58.1,74.4,30
58.59,74.8,30
59.06,75.2,30
59.54,75.7,30
59.98,76,30
60.46,76.4,29.6
60.93,76.8,30
61.41,77.2,29.4
61.85,77.6,29.4
62.34,77.9,30
62.8,78.3,30
63.29,78.7,29.7
63.73,79.1,29.7
64.21,79.5,29.7
64.68,79.8,30
65.16,80.2,30
65.6,80.6,30
66.09,81,30
66.55,81.3,30
67.04,81.7,30
67.48,82.1,30
67.96,82.5,29.9
68.43,82.8,29.2
68.91,83.2,30
69.35,83.6,30
69.83,83.9,29.2
70.3,84.3,29.9
70.77,84.7,29.9
71.24,85,30
71.72,85.4,29.6
72.16,85.7,29.6
72.65,86.1,30
73.11,86.5,30
73.6,86.9,30
74.04,87.2,30
74.52,87.6,30
74.99,87.9,29.9
75.47,88.3,29.5
75.91,88.6,29.5
76.4,89,29.2
76.86,89.3,29.8
77.35,89.7,30
77.79,90,30
78.27,90.4,30
78.74,90.8,30
79.22,91.1,30
79.66,91.5,30
80.15,91.8,30
80.63,92.1,30
81.1,92.5,30
81.54,92.9,30
82.02,93.2,30
82.49,93.5,29.2
82.98,93.8,30
83.41,94.2,30
83.9,94.5,29.8
84.37,94.9,30
84.85,95.2,30
85.32,95.6,30
85.79,95.9,30
86.23,96.3,30
86.69,96.6,30
87.16,96.9,30
87.65,97.2,29.9
88.12,97.5,29.8
88.6,97.9,30
89.04,98.2,30
89.52,98.5,30
89.99,98.8,30
90.47,99.2,30
90.91,99.5,30
91.4,99.9,29.6
91.86,100.2,30
92.33,100.5,30
92.8,100.8,29.5
93.25,101.1,29.5
93.72,101.5,30
94.21,101.8,30
94.68,102.1,29.5
95.14,102.5,29.5
95.61,102.7,29.8
96.07,103,29.8
96.54,103.3,29.3
97.02,103.7,30
97.49,103.9,30
97.97,104.3,30
98.41,104.6,30
98.89,104.9,27.7
99.36,105.2,29.8
99.85,105.5,30
100.28,105.8,30
100.77,106.1,30
101.24,106.4,29.6
101.72,106.7,30
102.19,107,30
